y	age	job	marital	education	balance	housing	loan	contact	duration	previous	poutcome
0	38	entrepreneur	single	tertiary	243	no	yes	unknown	174	0	unknown
0	38	management	single	tertiary	424	yes	no	unknown	104	0	unknown
0	47	blue-collar	married	unknown	306	yes	no	unknown	13	0	unknown
0	40	blue-collar	single	unknown	24	yes	no	unknown	185	0	unknown
0	46	services	married	primary	179	yes	no	unknown	1778	0	unknown
0	32	admin	married	tertiary	0	yes	no	unknown	138	0	unknown
0	53	technician	divorced	secondary	989	yes	no	unknown	812	0	unknown
0	57	blue-collar	married	primary	249	yes	no	unknown	164	0	unknown
0	33	services	married	secondary	790	yes	no	unknown	391	0	unknown
0	49	blue-collar	married	unknown	154	yes	no	unknown	357	0	unknown
0	51	management	married	tertiary	6530	yes	no	unknown	91	0	unknown
0	60	retired	married	tertiary	100	no	no	unknown	528	0	unknown
0	59	management	divorced	tertiary	59	yes	no	unknown	273	0	unknown
0	55	technician	married	secondary	1205	yes	no	unknown	158	0	unknown
0	35	blue-collar	single	secondary	12223	yes	yes	unknown	177	0	unknown
0	57	blue-collar	married	secondary	5935	yes	yes	unknown	258	0	unknown
0	31	services	married	secondary	25	yes	yes	unknown	172	0	unknown
0	54	management	married	secondary	282	yes	yes	unknown	154	0	unknown
0	55	blue-collar	married	primary	23	yes	no	unknown	291	0	unknown
0	43	technician	married	secondary	1937	yes	no	unknown	181	0	unknown
0	53	technician	married	secondary	384	yes	no	unknown	176	0	unknown
0	44	blue-collar	married	secondary	582	no	yes	unknown	211	0	unknown
0	55	services	divorced	secondary	91	no	no	unknown	349	0	unknown
0	49	services	divorced	secondary	0	yes	yes	unknown	272	0	unknown
0	55	services	divorced	secondary	1	yes	no	unknown	208	0	unknown
0	45	admin	single	secondary	206	yes	no	unknown	193	0	unknown
0	47	services	divorced	secondary	164	no	no	unknown	212	0	unknown
0	42	technician	single	secondary	690	yes	no	unknown	20	0	unknown
1	59	admin	married	secondary	2343	yes	no	unknown	1042	0	unknown
0	46	self-employed	married	tertiary	137	yes	yes	unknown	246	0	unknown
0	51	blue-collar	married	primary	173	yes	no	unknown	529	0	unknown
1	56	admin	married	secondary	45	no	no	unknown	1467	0	unknown
1	41	technician	married	secondary	1270	yes	no	unknown	1389	0	unknown
0	46	management	divorced	secondary	16	yes	yes	unknown	188	0	unknown
0	57	retired	married	secondary	486	yes	no	unknown	180	0	unknown
0	42	management	single	secondary	50	no	no	unknown	48	0	unknown
0	30	technician	married	secondary	152	yes	yes	unknown	213	0	unknown
0	60	admin	married	secondary	290	yes	no	unknown	583	0	unknown
0	60	blue-collar	married	unknown	54	yes	no	unknown	221	0	unknown
0	57	entrepreneur	divorced	secondary	-37	no	no	unknown	173	0	unknown
0	36	management	married	tertiary	101	yes	yes	unknown	426	0	unknown
0	55	blue-collar	married	secondary	383	no	no	unknown	287	0	unknown
0	60	retired	married	tertiary	81	yes	no	unknown	101	0	unknown
0	39	technician	married	secondary	0	yes	no	unknown	203	0	unknown
0	46	management	married	tertiary	229	yes	no	unknown	197	0	unknown
0	44	blue-collar	married	secondary	-674	yes	no	unknown	257	0	unknown
0	53	blue-collar	married	primary	90	no	no	unknown	124	0	unknown
0	52	blue-collar	married	primary	128	yes	no	unknown	229	0	unknown
0	59	blue-collar	married	primary	179	yes	no	unknown	55	0	unknown
0	27	technician	single	tertiary	0	yes	no	unknown	400	0	unknown
0	44	blue-collar	married	secondary	54	yes	no	unknown	197	0	unknown
0	47	technician	married	tertiary	151	yes	no	unknown	190	0	unknown
0	34	admin	married	secondary	61	no	yes	unknown	21	0	unknown
0	59	retired	single	secondary	30	yes	no	unknown	514	0	unknown
0	45	management	married	tertiary	523	yes	no	unknown	849	0	unknown
0	29	services	divorced	secondary	31	yes	no	unknown	194	0	unknown
0	46	technician	divorced	secondary	79	no	no	unknown	144	0	unknown
0	56	self-employed	married	primary	-34	yes	yes	unknown	212	0	unknown
0	36	blue-collar	married	primary	448	yes	no	unknown	286	0	unknown
0	59	retired	divorced	primary	81	yes	no	unknown	107	0	unknown
0	44	blue-collar	married	secondary	144	yes	no	unknown	247	0	unknown
0	41	admin	married	secondary	351	yes	no	unknown	518	0	unknown
0	33	management	single	tertiary	-67	yes	no	unknown	364	0	unknown
0	59	management	divorced	tertiary	262	no	no	unknown	178	0	unknown
0	57	technician	married	primary	0	no	no	unknown	98	0	unknown
0	56	technician	divorced	unknown	56	yes	no	unknown	439	0	unknown
0	51	blue-collar	married	secondary	26	yes	no	unknown	79	0	unknown
0	34	admin	married	unknown	3	yes	no	unknown	120	0	unknown
0	43	services	married	secondary	41	yes	yes	unknown	127	0	unknown
0	52	technician	married	tertiary	7	no	yes	unknown	175	0	unknown
0	33	technician	single	secondary	105	yes	no	unknown	262	0	unknown
0	29	admin	single	secondary	818	yes	yes	unknown	61	0	unknown
0	34	services	married	secondary	-16	yes	yes	unknown	78	0	unknown
0	31	blue-collar	married	secondary	0	yes	no	unknown	143	0	unknown
1	55	services	married	secondary	2476	yes	no	unknown	579	0	unknown
0	55	management	married	unknown	1185	no	no	unknown	677	0	unknown
0	32	admin	single	secondary	217	yes	no	unknown	345	0	unknown
0	38	technician	single	secondary	1685	yes	no	unknown	185	0	unknown
0	55	admin	single	secondary	802	yes	yes	unknown	100	0	unknown
0	28	unemployed	single	tertiary	0	yes	no	unknown	125	0	unknown
0	23	blue-collar	married	secondary	94	yes	no	unknown	193	0	unknown
0	32	technician	single	secondary	0	yes	no	unknown	136	0	unknown
0	43	services	single	unknown	0	no	no	unknown	73	0	unknown
0	32	blue-collar	married	secondary	517	yes	no	unknown	528	0	unknown
0	46	blue-collar	married	secondary	265	yes	no	unknown	541	0	unknown
0	53	housemaid	divorced	primary	947	yes	no	unknown	163	0	unknown
0	34	self-employed	single	secondary	3	yes	no	unknown	301	0	unknown
0	57	unemployed	married	tertiary	42	no	no	unknown	46	0	unknown
0	37	blue-collar	married	secondary	37	yes	no	unknown	204	0	unknown
0	59	blue-collar	married	secondary	57	yes	no	unknown	98	0	unknown
0	33	services	married	secondary	22	yes	no	unknown	71	0	unknown
0	56	blue-collar	divorced	primary	8	yes	no	unknown	157	0	unknown
0	48	unemployed	married	secondary	293	yes	no	unknown	243	0	unknown
0	43	services	married	primary	3	yes	no	unknown	186	0	unknown
0	54	blue-collar	married	primary	348	yes	no	unknown	579	0	unknown
0	51	blue-collar	married	unknown	-19	yes	no	unknown	163	0	unknown
0	26	student	single	secondary	0	yes	no	unknown	610	0	unknown
0	40	management	married	tertiary	-4	yes	no	unknown	2033	0	unknown
0	39	management	married	secondary	18	yes	no	unknown	85	0	unknown
0	50	technician	married	primary	139	no	no	unknown	114	0	unknown
0	41	services	married	secondary	0	yes	no	unknown	114	0	unknown
0	51	blue-collar	married	unknown	1883	yes	no	unknown	57	0	unknown
0	60	retired	divorced	secondary	216	yes	no	unknown	238	0	unknown
0	52	blue-collar	married	secondary	782	yes	no	unknown	93	0	unknown
0	48	blue-collar	married	secondary	904	yes	no	unknown	128	0	unknown
0	48	services	married	unknown	1705	yes	no	unknown	107	0	unknown
0	39	technician	single	tertiary	47	yes	no	unknown	181	0	unknown
0	47	services	single	secondary	176	yes	no	unknown	303	0	unknown
0	40	blue-collar	married	secondary	1225	yes	no	unknown	558	0	unknown
0	45	technician	married	secondary	86	yes	no	unknown	270	0	unknown
0	26	admin	single	secondary	82	yes	no	unknown	228	0	unknown
0	52	management	married	tertiary	271	yes	no	unknown	99	0	unknown
0	54	technician	married	secondary	1378	yes	no	unknown	240	0	unknown
1	54	admin	married	tertiary	184	no	no	unknown	673	0	unknown
0	50	blue-collar	married	primary	0	no	no	unknown	233	0	unknown
0	35	blue-collar	married	secondary	0	yes	no	unknown	1056	0	unknown
0	44	services	married	secondary	1357	yes	yes	unknown	250	0	unknown
0	53	entrepreneur	married	unknown	19	yes	no	unknown	252	0	unknown
0	35	retired	single	primary	434	no	no	unknown	138	0	unknown
0	60	admin	divorced	secondary	92	yes	no	unknown	130	0	unknown
0	53	admin	divorced	secondary	1151	yes	no	unknown	412	0	unknown
0	48	unemployed	married	secondary	41	yes	no	unknown	179	0	unknown
0	34	technician	married	secondary	51	yes	no	unknown	19	0	unknown
0	54	services	married	secondary	214	yes	no	unknown	458	0	unknown
0	51	management	married	secondary	1161	yes	no	unknown	717	0	unknown
0	31	services	married	tertiary	37	yes	no	unknown	313	0	unknown
0	35	technician	divorced	secondary	787	yes	no	unknown	683	0	unknown
0	35	services	married	secondary	59	yes	no	unknown	1077	0	unknown
0	38	technician	married	secondary	253	yes	no	unknown	416	0	unknown
0	36	admin	married	tertiary	211	yes	no	unknown	146	0	unknown
0	58	retired	married	primary	235	yes	no	unknown	167	0	unknown
0	40	services	divorced	unknown	4384	yes	no	unknown	315	0	unknown
0	54	management	married	secondary	4080	no	no	unknown	140	0	unknown
0	34	blue-collar	single	secondary	53	yes	yes	unknown	346	0	unknown
0	31	management	single	tertiary	0	yes	no	unknown	562	0	unknown
0	51	retired	married	secondary	2127	yes	no	unknown	172	0	unknown
0	33	management	married	tertiary	377	yes	no	unknown	217	0	unknown
0	55	management	married	tertiary	73	yes	no	unknown	142	0	unknown
0	42	admin	married	secondary	445	yes	no	unknown	67	0	unknown
0	34	blue-collar	married	secondary	243	yes	no	unknown	291	0	unknown
0	33	blue-collar	single	secondary	307	yes	no	unknown	309	0	unknown
0	38	services	married	secondary	155	yes	no	unknown	248	0	unknown
0	50	technician	divorced	tertiary	173	no	yes	unknown	98	0	unknown
0	43	management	married	tertiary	400	yes	no	unknown	256	0	unknown
0	61	blue-collar	divorced	primary	1428	yes	no	unknown	82	0	unknown
0	47	admin	married	secondary	219	yes	no	unknown	577	0	unknown
0	48	self-employed	married	tertiary	7	yes	no	unknown	286	0	unknown
0	44	blue-collar	married	secondary	575	yes	no	unknown	477	0	unknown
0	35	student	single	unknown	298	yes	no	unknown	611	0	unknown
0	35	services	married	secondary	0	yes	no	unknown	471	0	unknown
0	50	services	married	secondary	5699	yes	no	unknown	381	0	unknown
0	41	management	married	tertiary	176	yes	yes	unknown	42	0	unknown
0	41	management	married	tertiary	517	yes	no	unknown	251	0	unknown
0	39	services	single	unknown	257	yes	no	unknown	408	0	unknown
0	42	retired	married	secondary	56	yes	no	unknown	215	0	unknown
0	38	blue-collar	married	secondary	-390	yes	no	unknown	287	0	unknown
0	53	retired	married	secondary	330	yes	no	unknown	216	0	unknown
0	59	housemaid	divorced	primary	195	no	no	unknown	366	0	unknown
0	36	services	married	secondary	301	yes	no	unknown	210	0	unknown
0	54	blue-collar	married	primary	-41	yes	no	unknown	288	0	unknown
0	40	technician	married	tertiary	483	yes	no	unknown	168	0	unknown
0	47	unknown	married	unknown	28	no	no	unknown	338	0	unknown
0	53	unemployed	married	unknown	13	no	no	unknown	410	0	unknown
0	46	housemaid	married	primary	965	no	no	unknown	177	0	unknown
0	39	management	married	tertiary	378	yes	yes	unknown	127	0	unknown
0	40	unemployed	married	secondary	219	yes	no	unknown	357	0	unknown
0	28	blue-collar	married	primary	324	yes	no	unknown	175	0	unknown
0	35	entrepreneur	divorced	secondary	-69	yes	no	unknown	300	0	unknown
0	55	retired	married	secondary	0	no	yes	unknown	136	0	unknown
0	43	technician	divorced	unknown	205	yes	no	unknown	1419	0	unknown
0	48	blue-collar	married	primary	278	yes	no	unknown	125	0	unknown
0	58	management	married	unknown	1065	yes	no	unknown	213	0	unknown
0	33	management	single	tertiary	34	yes	no	unknown	27	0	unknown
0	36	blue-collar	married	unknown	1033	no	no	unknown	238	0	unknown
0	53	services	divorced	secondary	1467	yes	no	unknown	124	0	unknown
0	47	blue-collar	married	primary	-12	yes	no	unknown	18	0	unknown
0	31	services	married	secondary	388	yes	no	unknown	730	0	unknown
0	57	entrepreneur	married	secondary	294	yes	no	unknown	746	0	unknown
0	53	blue-collar	married	unknown	1827	no	no	unknown	121	0	unknown
0	55	blue-collar	married	primary	627	yes	no	unknown	247	0	unknown
0	45	blue-collar	married	primary	25	yes	no	unknown	40	0	unknown
0	53	admin	divorced	secondary	315	yes	no	unknown	181	0	unknown
0	37	blue-collar	married	primary	0	yes	no	unknown	79	0	unknown
0	44	admin	divorced	secondary	66	yes	no	unknown	206	0	unknown
0	49	blue-collar	divorced	primary	-9	yes	yes	unknown	389	0	unknown
0	46	technician	married	secondary	349	yes	yes	unknown	127	0	unknown
0	43	entrepreneur	married	unknown	100	yes	no	unknown	702	0	unknown
0	38	admin	married	secondary	0	no	no	unknown	151	0	unknown
0	43	technician	married	secondary	434	yes	no	unknown	117	0	unknown
0	49	management	married	tertiary	3237	yes	no	unknown	232	0	unknown
0	42	management	married	unknown	275	no	no	unknown	408	0	unknown
0	22	blue-collar	single	secondary	0	yes	no	unknown	179	0	unknown
0	40	management	married	tertiary	207	yes	no	unknown	39	0	unknown
0	39	blue-collar	married	secondary	483	yes	no	unknown	282	0	unknown
0	51	services	married	secondary	2248	yes	no	unknown	714	0	unknown
0	49	admin	married	secondary	428	yes	no	unknown	50	0	unknown
0	53	blue-collar	married	secondary	0	yes	yes	unknown	181	0	unknown
0	34	services	single	secondary	0	yes	no	unknown	142	0	unknown
0	33	technician	divorced	secondary	140	yes	no	unknown	227	0	unknown
0	50	management	single	tertiary	297	yes	no	unknown	119	0	unknown
0	39	blue-collar	married	primary	279	yes	no	unknown	361	0	unknown
0	59	entrepreneur	divorced	secondary	901	yes	no	unknown	73	0	unknown
0	30	technician	single	secondary	2573	yes	no	unknown	67	0	unknown
0	36	services	married	secondary	143	yes	yes	unknown	350	0	unknown
0	40	blue-collar	married	secondary	475	yes	no	unknown	332	0	unknown
0	53	blue-collar	married	secondary	70	yes	no	unknown	611	0	unknown
0	34	management	single	tertiary	318	yes	no	unknown	113	0	unknown
0	37	technician	married	secondary	275	yes	no	unknown	132	0	unknown
0	42	management	divorced	tertiary	742	yes	no	unknown	58	0	unknown
0	41	entrepreneur	married	primary	236	yes	no	unknown	151	0	unknown
0	30	student	single	tertiary	25	yes	no	unknown	89	0	unknown
0	37	management	single	tertiary	600	yes	no	unknown	152	0	unknown
0	39	admin	divorced	secondary	-349	yes	no	unknown	611	0	unknown
0	41	blue-collar	married	primary	183	yes	yes	unknown	110	0	unknown
0	40	blue-collar	married	primary	0	yes	no	unknown	463	0	unknown
1	42	management	single	tertiary	0	yes	yes	unknown	562	0	unknown
0	40	blue-collar	divorced	primary	0	yes	no	unknown	962	0	unknown
0	57	technician	married	secondary	1078	yes	no	unknown	10	0	unknown
0	56	entrepreneur	divorced	secondary	155	no	no	unknown	118	0	unknown
0	37	admin	married	secondary	190	yes	no	unknown	92	0	unknown
0	59	retired	married	secondary	319	yes	no	unknown	143	0	unknown
0	39	services	divorced	secondary	-185	yes	no	unknown	189	0	unknown
0	49	services	married	secondary	47	no	no	unknown	234	0	unknown
0	38	services	single	secondary	570	yes	no	unknown	75	0	unknown
0	36	self-employed	married	tertiary	19	no	no	unknown	189	0	unknown
0	50	blue-collar	married	primary	61	yes	no	unknown	621	0	unknown
0	41	admin	married	secondary	-62	yes	yes	unknown	55	0	unknown
0	54	technician	married	tertiary	258	no	no	unknown	310	0	unknown
0	58	blue-collar	married	primary	76	yes	no	unknown	156	0	unknown
0	30	blue-collar	single	secondary	0	yes	no	unknown	5	0	unknown
0	33	admin	single	secondary	352	yes	no	unknown	225	0	unknown
0	47	admin	married	secondary	368	yes	no	unknown	125	0	unknown
0	50	technician	single	tertiary	339	yes	no	unknown	2	0	unknown
0	32	blue-collar	married	secondary	1331	yes	no	unknown	286	0	unknown
0	40	self-employed	married	secondary	672	yes	no	unknown	164	0	unknown
0	37	management	married	tertiary	58	yes	no	unknown	98	0	unknown
0	54	technician	single	unknown	447	yes	no	unknown	742	0	unknown
0	24	student	single	secondary	423	yes	no	unknown	226	0	unknown
0	54	management	married	tertiary	0	no	no	unknown	120	0	unknown
0	34	technician	married	secondary	19	yes	no	unknown	362	0	unknown
0	56	technician	divorced	primary	13	yes	no	unknown	357	0	unknown
0	31	blue-collar	single	secondary	3	yes	no	unknown	200	0	unknown
0	24	student	single	secondary	82	yes	no	unknown	204	0	unknown
0	42	blue-collar	divorced	primary	28	yes	no	unknown	126	0	unknown
0	57	technician	married	secondary	792	yes	no	unknown	65	0	unknown
0	42	blue-collar	married	unknown	408	yes	no	unknown	107	0	unknown
0	51	admin	married	secondary	531	yes	no	unknown	267	0	unknown
0	57	retired	married	secondary	211	yes	no	unknown	248	0	unknown
0	36	services	single	secondary	62	yes	no	unknown	215	0	unknown
0	53	services	married	unknown	257	yes	no	unknown	209	0	unknown
0	50	technician	married	secondary	1234	yes	no	unknown	205	0	unknown
0	54	management	married	tertiary	313	yes	no	unknown	83	0	unknown
0	55	blue-collar	married	secondary	89	yes	no	unknown	106	0	unknown
0	44	blue-collar	married	secondary	129	yes	yes	unknown	189	0	unknown
0	43	management	married	unknown	0	yes	no	unknown	105	0	unknown
0	56	admin	married	secondary	353	yes	no	unknown	106	0	unknown
0	54	technician	married	unknown	851	yes	no	unknown	108	0	unknown
0	55	services	divorced	primary	96	yes	yes	unknown	311	0	unknown
0	37	services	divorced	secondary	398	yes	yes	unknown	214	0	unknown
0	33	admin	single	tertiary	193	no	no	unknown	132	0	unknown
0	46	admin	married	secondary	-358	yes	no	unknown	358	0	unknown
0	36	blue-collar	married	secondary	539	yes	yes	unknown	453	0	unknown
0	51	technician	single	secondary	0	yes	no	unknown	364	0	unknown
0	40	retired	single	primary	0	no	no	unknown	136	0	unknown
0	42	blue-collar	married	secondary	490	yes	no	unknown	386	0	unknown
0	51	blue-collar	married	secondary	0	yes	no	unknown	173	0	unknown
0	49	blue-collar	married	unknown	403	yes	no	unknown	241	0	unknown
0	48	management	married	secondary	161	yes	no	unknown	224	0	unknown
0	32	technician	divorced	tertiary	2558	no	no	unknown	148	0	unknown
0	31	admin	single	secondary	98	yes	no	unknown	196	0	unknown
0	55	management	single	tertiary	115	no	no	unknown	111	0	unknown
0	40	blue-collar	single	secondary	436	yes	no	unknown	231	0	unknown
0	47	technician	married	tertiary	831	yes	no	unknown	316	0	unknown
0	57	technician	married	unknown	206	yes	no	unknown	216	0	unknown
0	41	blue-collar	married	secondary	290	yes	no	unknown	240	0	unknown
0	48	blue-collar	married	secondary	1	no	no	unknown	669	0	unknown
0	42	blue-collar	married	unknown	57	yes	no	unknown	425	0	unknown
0	30	blue-collar	single	secondary	-457	yes	no	unknown	143	0	unknown
0	58	management	single	tertiary	1387	yes	no	unknown	174	0	unknown
0	45	management	divorced	tertiary	24598	yes	no	unknown	313	0	unknown
0	49	blue-collar	married	secondary	30	yes	no	unknown	135	0	unknown
0	42	admin	single	secondary	1022	yes	no	unknown	146	0	unknown
0	53	technician	married	secondary	56	yes	yes	unknown	152	0	unknown
0	51	admin	single	secondary	-2	no	no	unknown	402	0	unknown
0	32	services	single	secondary	121	yes	no	unknown	213	0	unknown
0	41	blue-collar	single	secondary	842	yes	no	unknown	144	0	unknown
0	43	management	divorced	secondary	693	yes	no	unknown	124	0	unknown
0	40	blue-collar	divorced	secondary	-333	yes	no	unknown	183	0	unknown
0	50	blue-collar	married	primary	1533	yes	no	unknown	325	0	unknown
0	34	management	married	tertiary	46	yes	no	unknown	39	0	unknown
0	53	services	married	unknown	18	no	no	unknown	503	0	unknown
0	45	technician	married	secondary	44	yes	no	unknown	95	0	unknown
0	39	blue-collar	married	primary	-100	yes	no	unknown	680	0	unknown
0	44	services	married	tertiary	510	yes	no	unknown	421	0	unknown
0	55	management	married	tertiary	685	yes	no	unknown	174	0	unknown
0	46	management	single	tertiary	187	yes	no	unknown	113	0	unknown
0	45	blue-collar	married	secondary	66	yes	no	unknown	808	0	unknown
0	34	admin	married	secondary	560	yes	no	unknown	198	0	unknown
0	36	blue-collar	married	secondary	0	yes	no	unknown	195	0	unknown
0	59	unknown	divorced	unknown	27	no	no	unknown	347	0	unknown
0	31	admin	single	secondary	12	yes	no	unknown	208	0	unknown
0	44	blue-collar	single	secondary	34	yes	no	unknown	404	0	unknown
0	33	entrepreneur	single	tertiary	1068	yes	no	unknown	396	0	unknown
0	40	blue-collar	married	secondary	211	yes	no	unknown	216	0	unknown
0	46	admin	single	tertiary	377	yes	no	unknown	98	0	unknown
0	48	management	married	tertiary	263	yes	no	unknown	350	0	unknown
0	42	services	married	secondary	1263	yes	no	unknown	114	0	unknown
0	27	services	married	secondary	8	yes	no	unknown	88	0	unknown
0	48	admin	married	secondary	126	yes	yes	unknown	379	0	unknown
0	59	admin	married	secondary	230	yes	no	unknown	190	0	unknown
0	46	technician	married	tertiary	841	yes	no	unknown	158	0	unknown
0	38	admin	divorced	secondary	308	yes	no	unknown	102	0	unknown
0	43	management	divorced	tertiary	1	yes	no	unknown	306	0	unknown
0	38	admin	divorced	tertiary	86	yes	no	unknown	218	0	unknown
0	23	student	single	secondary	157	yes	no	unknown	54	0	unknown
0	34	services	married	secondary	22	yes	no	unknown	344	0	unknown
0	38	admin	married	secondary	46	yes	yes	unknown	195	0	unknown
0	37	blue-collar	married	secondary	1293	no	no	unknown	652	0	unknown
0	25	admin	single	secondary	122	yes	no	unknown	286	0	unknown
0	48	blue-collar	married	unknown	131	yes	no	unknown	189	0	unknown
0	49	blue-collar	single	secondary	143	yes	no	unknown	83	0	unknown
0	38	admin	single	secondary	393	no	no	unknown	184	0	unknown
0	43	blue-collar	married	primary	98	yes	no	unknown	235	0	unknown
0	33	management	married	tertiary	0	yes	no	unknown	290	0	unknown
0	55	blue-collar	married	secondary	224	yes	no	unknown	232	0	unknown
0	38	blue-collar	married	secondary	757	yes	no	unknown	133	0	unknown
0	49	services	married	secondary	245	yes	yes	unknown	318	0	unknown
0	40	management	married	secondary	8486	no	no	unknown	260	0	unknown
0	43	admin	married	unknown	350	no	no	unknown	437	0	unknown
0	38	blue-collar	married	secondary	20	yes	no	unknown	402	0	unknown
0	58	services	married	secondary	1667	yes	yes	unknown	85	0	unknown
0	57	technician	married	unknown	345	yes	no	unknown	125	0	unknown
0	32	unemployed	married	secondary	10	yes	no	unknown	501	0	unknown
1	56	management	married	tertiary	830	yes	yes	unknown	1201	0	unknown
0	58	blue-collar	divorced	unknown	29	yes	no	unknown	253	0	unknown
1	60	retired	divorced	secondary	545	yes	no	unknown	1030	0	unknown
0	37	technician	married	tertiary	8730	yes	no	unknown	149	0	unknown
0	46	technician	divorced	tertiary	477	yes	no	unknown	114	0	unknown
0	27	admin	married	secondary	4	yes	no	unknown	243	0	unknown
0	43	blue-collar	married	secondary	1205	yes	no	unknown	769	0	unknown
0	32	technician	single	secondary	0	yes	yes	unknown	135	0	unknown
0	40	admin	single	secondary	263	yes	no	unknown	231	0	unknown
0	38	admin	married	secondary	1	no	no	unknown	76	0	unknown
0	34	blue-collar	married	secondary	283	no	yes	unknown	199	0	unknown
0	47	blue-collar	married	primary	206	yes	no	unknown	152	0	unknown
0	42	housemaid	married	primary	17	yes	no	unknown	124	0	unknown
0	48	technician	married	secondary	141	yes	yes	unknown	424	0	unknown
0	29	self-employed	single	tertiary	16	yes	no	unknown	43	0	unknown
0	50	services	married	secondary	206	yes	no	unknown	154	0	unknown
0	52	technician	married	unknown	7	no	no	unknown	203	0	unknown
0	50	management	married	tertiary	0	no	no	unknown	326	0	unknown
0	58	retired	married	tertiary	0	no	no	unknown	393	0	unknown
0	46	blue-collar	divorced	primary	1927	yes	no	unknown	241	0	unknown
0	38	technician	married	secondary	284	yes	no	unknown	483	0	unknown
0	46	blue-collar	married	secondary	1660	yes	no	unknown	259	0	unknown
0	32	services	single	secondary	406	yes	no	unknown	227	0	unknown
0	51	blue-collar	married	primary	230	yes	no	unknown	673	0	unknown
0	39	admin	single	secondary	-25	yes	no	unknown	576	0	unknown
0	48	admin	married	secondary	182	yes	no	unknown	180	0	unknown
0	36	entrepreneur	married	tertiary	1169	yes	no	unknown	168	0	unknown
0	34	admin	divorced	secondary	67	yes	no	unknown	90	0	unknown
0	40	technician	married	secondary	77	no	no	unknown	505	0	unknown
0	43	unemployed	married	secondary	0	yes	no	unknown	245	0	unknown
